Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
A1,PA00,,Available,,,,,,NORMAL
A2,PB00,,Available,,,,,,NORMAL
A3,PB30,,Available,,,,,,NORMAL
A6,PA27,,Available,,,,,,NORMAL
A7,PC27,,Available,,,,,,NORMAL
A8,PB23,,Available,,,,,,NORMAL
A9,PB22,,Available,,,,,,NORMAL
A10,PA25,,Available,,,,,,NORMAL
A11,PA24,,Available,,,,,,NORMAL
B1,PA01,,Available,,,,,,NORMAL
B2,PB01,,Available,,,,,,NORMAL
B3,PB02,,Available,,,,,,NORMAL
B4,PA31,,Available,,,,,,NORMAL
B5,PA30,,Available,,,,,,NORMAL
B6,PC28,,Available,,,,,,NORMAL
B7,PC26,,Available,,,,,,NORMAL
B8,PC25,,SERCOM4_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
B9,PC24,,SERCOM4_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
B10,PA23,,Available,,,,,,NORMAL
B11,PA22,,Available,,,,,,NORMAL
C1,PC02,,EIC_EXTINT10,Digital,High Impedance,n/a,No,No,NORMAL
C2,PC01,,Available,,,,,,NORMAL
C3,PB03,,Available,,,,,,NORMAL
C4,PB31,,Available,,,,,,NORMAL
C8,PB25,,Available,,,,,,NORMAL
C9,PB24,,Available,,,,,,NORMAL
C10,PA21,,Available,,,,,,NORMAL
C11,PA20,,Available,,,,,,NORMAL
D1,PA02,,Available,,,,,,NORMAL
D2,PC03,,Available,,,,,,NORMAL
D3,PC00,,Available,,,,,,NORMAL
D9,PB21,,Available,,,,,,NORMAL
D10,PB19,,Available,,,,,,NORMAL
D11,PB20,,Available,,,,,,NORMAL
E1,PB04,,Available,,,,,,NORMAL
E2,PA03,,Available,,,,,,NORMAL
E10,PB17,,Available,,,,,,NORMAL
E11,PB18,,Available,,,,,,NORMAL
F1,PB06,,Available,,,,,,NORMAL
F2,PB05,,Available,,,,,,NORMAL
F10,PC21,,Available,,,,,,NORMAL
F11,PB16,,Available,,,,,,NORMAL
G1,PB08,,Available,,,,,,NORMAL
G2,PB07,,Available,,,,,,NORMAL
G10,PC19,,Available,,,,,,NORMAL
G11,PC20,,Available,,,,,,NORMAL
H1,PA04,,Available,,,,,,NORMAL
H2,PB09,,TC0_WO1,Digital,High Impedance,n/a,No,No,NORMAL
H3,PA05,,Available,,,,,,NORMAL
H9,PA18,,Available,,,,,,NORMAL
H10,PC17,,Available,,,,,,NORMAL
H11,PC18,,Available,,,,,,NORMAL
J1,PA06,,Available,,,,,,NORMAL
J2,PA07,,Available,,,,,,NORMAL
J3,PC07,,Available,,,,,,NORMAL
J4,PA10,,Available,,,,,,NORMAL
J5,PC09,,Available,,,,,,NORMAL
J8,PC14,,Available,,,,,,NORMAL
J9,PA16,,Available,,,,,,NORMAL
J10,PA19,,Available,,,,,,NORMAL
J11,PC16,,Available,,,,,,NORMAL
K1,PC05,,Available,,,,,,NORMAL
K2,PC06,,Available,,,,,,NORMAL
K3,PA11,,Available,,,,,,NORMAL
K4,PC10,,Available,,,,,,NORMAL
K5,PC12,,Available,,,,,,NORMAL
K6,PB11,,Available,,,,,,NORMAL
K7,PB12,,Available,,,,,,NORMAL
K8,PB14,,Available,,,,,,NORMAL
K9,PA12,,Available,,,,,,NORMAL
K10,PA14,,Available,,,,,,NORMAL
K11,PA17,,Available,,,,,,NORMAL
L1,PA08,,Available,,,,,,NORMAL
L2,PA09,,Available,,,,,,NORMAL
L3,PC08,,Available,,,,,,NORMAL
L4,PC11,,Available,,,,,,NORMAL
L5,PC13,,Available,,,,,,NORMAL
L7,PB13,,Available,,,,,,NORMAL
L8,PB15,,Available,,,,,,NORMAL
L9,PC15,,Available,,,,,,NORMAL
L10,PA13,,Available,,,,,,NORMAL
L11,PA15,,Available,,,,,,NORMAL
93,PA30,,Available,,,,,,NORMAL
94,PA31,,Available,,,,,,NORMAL
95,PB30,,Available,,,,,,NORMAL
96,PB31,,Available,,,,,,NORMAL
97,PB00,,Available,,,,,,NORMAL
98,PB01,,Available,,,,,,NORMAL
99,PB02,,Available,,,,,,NORMAL
100,PB03,,Available,,,,,,NORMAL
